seed,tool,t,phase,rx,ry,rz,fa,fb,frack,na,nb,nrack,grip_q,tool_z,ee_z
0,tape_roll,1.21,open,0.27246,0.05828,-0.0,0.0,0.0,0.68748,0,0,4,0.03689,0.80017,1.0133
0,tape_roll,1.22,open,0.27247,0.05828,-2e-05,0.0,0.0,0.68748,0,0,4,0.03612,0.80017,1.0133
0,tape_roll,1.23,open,0.27247,0.05828,-3e-05,0.0,0.0,0.68748,0,0,4,0.03558,0.80017,1.01331
0,tape_roll,1.24,open,0.27248,0.05828,-5e-05,0.0,0.0,0.68748,0,0,4,0.03518,0.80017,1.01332
0,tape_roll,1.25,open,0.27248,0.05828,-6e-05,0.0,0.0,0.68748,0,0,4,0.03486,0.80017,1.01333
0,tape_roll,1.26,open,0.27249,0.05828,-8e-05,0.0,0.0,0.68748,0,0,4,0.03461,0.80017,1.01334
0,tape_roll,1.27,open,0.27249,0.05828,-9e-05,0.0,0.0,0.68748,0,0,4,0.03441,0.80017,1.01334
0,tape_roll,1.28,open,0.27249,0.05828,-0.0001,0.0,0.0,0.68748,0,0,4,0.03425,0.80017,1.01335
0,tape_roll,1.29,open,0.2725,0.05828,-0.00011,0.0,0.0,0.68748,0,0,4,0.03412,0.80017,1.01335
0,tape_roll,1.3,open,0.2725,0.05828,-0.00012,0.0,0.0,0.68748,0,0,4,0.03401,0.80017,1.01336
0,tape_roll,1.31,open,0.27251,0.05828,-0.00013,0.0,0.0,0.68748,0,0,4,0.03279,0.80017,1.01337
0,tape_roll,1.32,open,0.27252,0.05828,-0.00015,0.0,0.0,0.68748,0,0,4,0.03193,0.80017,1.01338
0,tape_roll,1.33,open,0.27252,0.05828,-0.00018,0.0,0.0,0.68748,0,0,4,0.03133,0.80017,1.01339
0,tape_roll,1.34,open,0.27253,0.05828,-0.0002,0.0,0.0,0.68748,0,0,4,0.0309,0.80017,1.0134
0,tape_roll,1.35,open,0.27254,0.05828,-0.00022,0.0,0.0,0.68748,0,0,4,0.03056,0.80017,1.01341
0,tape_roll,1.36,open,0.27255,0.05828,-0.00023,0.0,0.0,0.68748,0,0,4,0.03029,0.80017,1.01343
0,tape_roll,1.37,open,0.27255,0.05828,-0.00025,0.0,0.0,0.68748,0,0,4,0.03007,0.80017,1.01343
0,tape_roll,1.38,open,0.27256,0.05828,-0.00027,0.0,0.0,0.68748,0,0,4,0.0299,0.80017,1.01344
0,tape_roll,1.39,open,0.27256,0.05828,-0.00028,0.0,0.0,0.68748,0,0,4,0.02976,0.80017,1.01345
0,tape_roll,1.4,open,0.27257,0.05828,-0.00029,0.0,0.0,0.68748,0,0,4,0.02965,0.80017,1.01346
0,tape_roll,1.41,open,0.27257,0.05828,-0.00031,0.0,0.0,0.68748,0,0,4,0.02842,0.80017,1.01347
0,tape_roll,1.42,open,0.27258,0.05828,-0.00033,0.0,0.0,0.68748,0,0,4,0.02755,0.80017,1.01348
0,tape_roll,1.43,open,0.27259,0.05828,-0.00036,0.0,0.0,0.68748,0,0,4,0.02695,0.80017,1.0135
0,tape_roll,1.44,open,0.2726,0.05828,-0.00038,0.0,0.0,0.68748,0,0,4,0.02651,0.80017,1.01351
0,tape_roll,1.45,open,0.27261,0.05828,-0.0004,0.0,0.0,0.68748,0,0,4,0.02617,0.80017,1.01352
0,tape_roll,1.46,open,0.27262,0.05828,-0.00042,0.0,0.0,0.68748,0,0,4,0.0259,0.80017,1.01353
0,tape_roll,1.47,open,0.27263,0.05828,-0.00044,0.0,0.0,0.68748,0,0,4,0.02568,0.80017,1.01354
0,tape_roll,1.48,open,0.27263,0.05828,-0.00046,0.0,0.0,0.68748,0,0,4,0.02551,0.80017,1.01355
0,tape_roll,1.49,open,0.27264,0.05828,-0.00047,0.0,0.0,0.68748,0,0,4,0.02537,0.80017,1.01356
0,tape_roll,1.5,open,0.27264,0.05828,-0.00049,0.0,0.0,0.68748,0,0,4,0.02525,0.80017,1.01357
0,tape_roll,1.51,open,0.27265,0.05828,-0.0005,0.0,0.0,0.68748,0,0,4,0.02402,0.80017,1.01358
0,tape_roll,1.52,open,0.27266,0.05828,-0.00053,0.0,0.0,0.68748,0,0,4,0.02315,0.80017,1.01359
0,tape_roll,1.53,open,0.27267,0.05828,-0.00056,0.0,0.0,0.68748,0,0,4,0.02255,0.80017,1.01361
0,tape_roll,1.54,open,0.27268,0.05828,-0.00058,0.0,0.0,0.68748,0,0,4,0.02211,0.80017,1.01362
0,tape_roll,1.55,open,0.27269,0.05828,-0.0006,0.0,0.0,0.68748,0,0,4,0.02177,0.80017,1.01364
0,tape_roll,1.56,open,0.2727,0.05828,-0.00062,0.0,0.0,0.68748,0,0,4,0.0215,0.80017,1.01365
0,tape_roll,1.57,open,0.2727,0.05828,-0.00064,0.0,0.0,0.68748,0,0,4,0.02129,0.80017,1.01366
0,tape_roll,1.58,open,0.27271,0.05828,-0.00066,0.0,0.0,0.68748,0,0,4,0.02111,0.80017,1.01367
0,tape_roll,1.59,open,0.27272,0.05828,-0.00068,0.0,0.0,0.68748,0,0,4,0.02097,0.80017,1.01368
0,tape_roll,1.6,open,0.27272,0.05828,-0.00069,0.0,0.0,0.68748,0,0,4,0.02086,0.80017,1.01369
0,tape_roll,1.61,reach_pre,0.27216,0.05809,-0.00268,0.0,0.0,0.68748,0,0,4,0.02082,0.80017,1.01358
0,tape_roll,1.62,reach_pre,0.27047,0.05778,-0.00554,0.0,0.0,0.68748,0,0,4,0.02077,0.80017,1.01282
0,tape_roll,1.63,reach_pre,0.26801,0.05752,-0.00799,0.0,0.0,0.68748,0,0,4,0.02071,0.80017,1.01147
0,tape_roll,1.64,reach_pre,0.26519,0.05727,-0.01012,0.0,0.0,0.68748,0,0,4,0.02065,0.80017,1.0098
0,tape_roll,1.65,reach_pre,0.26222,0.05702,-0.01203,0.0,0.0,0.68748,0,0,4,0.02061,0.80017,1.00799
